# This is an automatically generated airport file for Endless ATC.
# Feel free to improve, use and share this file, at your own risk.
# Data from ourairports.com.
# Coastline from naturalearthdata.com.
# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 50
elevation = 841
usa = true
transition = 18001
center = N44.882, W93.221802
floor = 2000 			; minimum selectable altitude
descendaltitude = 7000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 17000 			; maximum departure altitude when SID is enabled (must be above ceiling)
magneticvar = 1.529
beacons =
	MSP, N44.89650, W93.23650, 0, Minneapolis

# KMSP STAR BEACONS
    AANAH, N44.25.41.36, W093.19.19.23, aanah
    FOD, N42.36.40.05, W094.17.41.34, fort dodge
    GEP, N45.08.44.47, W093.22.23.45, gopher
    GOOLD, N42.57.30.91, W094.42.51.04, goold
    GRB, N44.33.18.58, W088.11.41.49, green bay
    HITTL, N44.34.56.19, W093.27.48.29, hittl
    HOMUR, N45.25.05.56, W094.04.36.50, homur
    HRBEK, N45.18.52.31, W093.48.25.17, hrbek
    HSTIN, N44.00.08.00, W093.57.40.00, hstin
    HUGIR, N44.42.04.34, W093.36.57.24, hugir
    HUSHH, N44.50.18.20, W093.13.45.93, hushh
    JEDET, N44.27.40.64, W092.43.40.59, jedet
    KBREW, N45.35.03.67, W094.30.53.21, kbrew
    KEYPR, N44.40.42.68, W093.33.54.89, keypr
    KUUGL, N44.56.54.26, W094.21.16.60, kuugl
    LEINY, N45.02.16.00, W097.36.40.00, leiny
    LMFRY, N44.22.14.63, W091.51.01.69, lmfry
    MCONL, N44.35.00.33, W093.50.32.26, mconl
    MNDEE, N44.44.14.85, W093.19.24.52, mndee
    MSP, N44.53.47.40, W093.14.11.51, minneapolis
    NANCZ, N44.24.52.14, W093.36.27.99, nancz
    OBH, N41.22.32.65, W098.21.12.94, wolbach
    ODI, N43.54.44.39, W091.28.03.06, nodine
    ONL, N42.28.13.80, W098.41.12.94, o'neill
    ONTIJ, N43.17.51.48, W094.30.46.46, ontij
    ORSKY, N43.40.11.13, W094.13.22.92, orsky
    OTG, N43.38.48.90, W095.34.55.05, worthington
    OVR, N41.10.01.80, W095.44.12.67, omaha
    PAGOZ, N45.11.17.56, W094.17.15.85, pagoz
    PRAMN, N44.40.03.22, W093.23.23.11, pramn
    RST, N43.46.58.45, W092.35.49.06, rochester
    SCHEP, N44.14.50.23, W094.28.43.65, schep
    SIMJI, N42.49.33.63, W094.47.31.30, simji
    SLAYR, N44.25.06.00, W094.08.53.00, slayr
    SMERF, N45.55.15.82, W097.34.08.26, smerf
    SNINE, N45.15.06.76, W092.39.02.89, snine
    TEYOU, N43.17.30.00, W096.16.25.00, teyou
    TODDO, N41.50.32.36, W095.21.31.40, toddo
    TONCA, N44.54.57.58, W093.38.01.51, tonca
    TTOSS, N43.55.42.00, W095.05.31.00, ttoss
    WLSTN, N45.28.26.44, W091.00.55.27, wlstn
    YUPER, N43.11.32.00, W094.08.25.00, yuper
    ZMBRO, N44.20.29.98, W092.26.54.60, zmbro
    ZOGAP, N45.05.17.00, W093.52.33.00, zogap
    ZZEEE, N42.06.21.00, W095.24.14.00, zzeee



##################################################
# KMSP STARS
##################################################



##################################################
[approach1]
##################################################
# LUCCY.BAINY3
runway = KMSP_04_22
beacon = LUCCY

route1 =
    360
    N45.35.04.41, W093.36.32.48, 11000, 280 ; LUCCY
    N45.20.54.45, W093.28.52.21, 11000, 280 ; SAUGR
    N45.08.44.47, W093.22.23.45, 10000, 250 ; GEP
    N45.03.08.48, W093.18.53.06, 9000, 250 ; PRRPL
    N44.57.49.95, W093.06.34.25, 8000, 210 ; OSMOH
    N44.53.30.84, W092.56.50.32, 8000, 210 ; IRRRV
    end, 121

##################################################
[approach2]
##################################################
# BLUEM.BLUEM4
runway = KMSP_04_22
beacon = BLUEM

route1 =
    180
    N44.10.52.86, W093.13.25.67, 11000, 280 ; BLUEM
    N44.22.28.13, W093.12.26.22, 11000, 280 ; FARBO
    N44.35.42.49, W093.12.26.32, 10000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 9000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach3]
##################################################
# TWINZ.EAU9
runway = KMSP_04_22
beacon = TWINZ

route1 =
    090
    N45.02.55.67, W092.17.21.64, 11000, 250 ; TWINZ
    N45.00.14.73, W092.34.22.91, 11000, 250 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 250 ; LOOON
    N44.55.49.08, W093.01.51.18, 11000, 250 ; ZASKY
    end, 254

##################################################
[approach4]
##################################################
# KKILR.KKILR3
runway = KMSP_04_22
beacon = KKILR

route1 =
    090
    N44.51.10.22, W092.11.08.12, 12000, 280 ; KKILR
    N44.52.09.19, W092.29.12.36, 12000, 280 ; KRISP
    N44.51.52.44, W092.47.48.93, 10000, 250 ; AFTYN
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach5]
##################################################
# BAYKS.MUSCL3
runway = KMSP_04_22
beacon = BAYKS

route1 =
    090
    N45.03.37.67, W092.12.53.65, 12000, 280 ; BAYKS
    N45.00.14.73, W092.34.22.91, 12000, 280 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 280 ; LOOON
    N44.56.42.40, W092.56.21.76, 10000, 250 ; WDBRY
    N44.55.49.08, W093.01.51.18, 9000, 250 ; ZASKY
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach6]
##################################################
# NITZR.NITZR3
runway = KMSP_04_22
beacon = NITZR

route1 =
    180
    N44.11.10.48, W093.27.57.86, 12000, 280 ; NITZR
    N44.21.53.52, W093.22.00.75, 12000, 280 ; DAHRL
    N44.30.41.05, W093.15.58.59, 12000, 280 ; GDNEE
    N44.35.42.49, W093.12.26.32, 11000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 10000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach7]
##################################################
# SHONN.SKETR5
runway = KMSP_04_22
beacon = SHONN

route1 =
    270
    N44.41.36.39, W094.09.07.94, 11000, 250 ; SHONN
    N44.44.54.77, W093.54.27.23, 11000, 250 ; NORWD
    N44.47.20.15, W093.43.35.40, 11000, 250 ; JAEDN
    N44.51.09.10, W093.26.17.53, 11000, 250 ; MONKY
    end, 071

##################################################
[approach8]
##################################################
# OFSON.TORGY3
runway = KMSP_04_22
beacon = OFSON

route1 =
    250
    N44.40.25.33, W094.14.28.99, 11000, 280 ; OFSON
    N44.42.04.05, W094.07.10.47, 11000, 280 ; HMBRG
    N44.45.10.46, W093.53.17.06, 11000, 280 ; CONIA
    N44.47.20.15, W093.43.35.40, 10000, 250 ; JAEDN
    N44.51.14.58, W093.25.51.61, 9000, 250 ; HDEEE
    N44.46.54.18, W093.15.51.42, 8000, 210 ; MAUER
    N44.41.04.81, W093.02.19.28, 8000, 210 ; JJENI
    end, 121

##################################################
[approach9]
##################################################
# TRGET.TWOLF3
runway = KMSP_04_22
beacon = TRGET

route1 =
    180
    N44.13.52.58, W093.27.43.65, 11000, 250 ; TRGET
    N44.22.49.19, W093.21.29.53, 11000, 250 ; PIKKL
    N44.30.41.05, W093.15.58.59, 11000, 250 ; GDNEE
    N44.37.51.40, W093.10.55.39, 11000, 250 ; FGT
    end, 090

##################################################
[approach10]
##################################################
# LUCCY.BAINY3
runway = KMSP_RW12B
beacon = LUCCY

route1 =
    360
    N45.35.04.41, W093.36.32.48, 11000, 280 ; LUCCY
    N45.20.54.45, W093.28.52.21, 11000, 280 ; SAUGR
    N45.17.56.90, W093.28.56.95, 8000, 280 ; OGLVE
    N45.10.47.83, W093.29.09.59, 7000, 210 ; KAYQU
    end, 090

##################################################
[approach11]
##################################################
# TWINZ.EAU9
runway = KMSP_RW12B
beacon = TWINZ

route1 =
    090
    N45.02.55.67, W092.17.21.64, 11000, 250 ; TWINZ
    N45.00.14.73, W092.34.22.91, 11000, 250 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 250 ; LOOON
    N44.55.49.08, W093.01.51.18, 11000, 250 ; ZASKY
    N44.52.55.10, W093.13.18.40, 11000, 250 ; KMSP
    end, 300

##################################################
[approach12]
##################################################
# ZIBBY.KASPR7
runway = KMSP_RW12B
beacon = ZIBBY

route1 =
    180
    N44.06.55.95, W093.13.57.05, 10000, 250 ; ZIBBY
    N44.13.54.94, W093.13.16.33, 10000, 250 ; DELZY
    N44.22.53.61, W093.12.23.75, 10000, 250 ; PEPPR
    N44.29.52.59, W093.11.42.65, 10000, 250 ; AHMIT
    N44.37.51.40, W093.10.55.39, 10000, 250 ; FGT
    N44.47.54.10, W093.17.12.48, 10000, 250 ; SLIKK
    N44.52.55.10, W093.13.18.40, 10000, 250 ; KMSP
    end, 300

##################################################
[approach13]
##################################################
# SHONN.SKETR5
runway = KMSP_RW12B
beacon = SHONN

route1 =
    270
    N44.41.36.39, W094.09.07.94, 11000, 250 ; SHONN
    N44.44.54.77, W093.54.27.23, 11000, 250 ; NORWD
    N44.47.20.15, W093.43.35.40, 11000, 250 ; JAEDN
    N44.51.09.10, W093.26.17.53, 11000, 250 ; MONKY
    end, 071

##################################################
[approach14]
##################################################
# OFSON.TORGY3
runway = KMSP_RW12B
beacon = OFSON

route1 =
    250
    N44.40.25.33, W094.14.28.99, 11000, 280 ; OFSON
    N44.42.04.05, W094.07.10.47, 11000, 280 ; HMBRG
    N44.45.10.46, W093.53.17.06, 11000, 280 ; CONIA
    N44.53.54.59, W093.42.15.10, 7000, 230 ; SPUKI
    N44.55.23.72, W093.40.22.06, 7000, 210 ; KRUGG
    end, 090

##################################################
[approach15]
##################################################
# TRGET.TWOLF3
runway = KMSP_RW12B
beacon = TRGET

route1 =
    180
    N44.13.52.58, W093.27.43.65, 11000, 250 ; TRGET
    N44.22.49.19, W093.21.29.53, 11000, 250 ; PIKKL
    N44.30.41.05, W093.15.58.59, 11000, 250 ; GDNEE
    N44.37.51.40, W093.10.55.39, 11000, 250 ; FGT
    N44.47.54.10, W093.17.12.48, 11000, 250 ; SLIKK
    N44.52.55.10, W093.13.18.40, 11000, 250 ; KMSP
    end, 300

##################################################
[approach16]
##################################################
# LUCCY.BAINY3
runway = KMSP_17_35
beacon = LUCCY

route1 =
    360
    N45.35.04.41, W093.36.32.48, 11000, 280 ; LUCCY
    N45.20.54.45, W093.28.52.21, 11000, 280 ; SAUGR
    N45.08.44.47, W093.22.23.45, 10000, 250 ; GEP
    N45.03.08.48, W093.18.53.06, 9000, 250 ; PRRPL
    N44.57.49.95, W093.06.34.25, 8000, 210 ; OSMOH
    N44.53.30.84, W092.56.50.32, 8000, 210 ; IRRRV
    end, 121

##################################################
[approach17]
##################################################
# BLUEM.BLUEM4
runway = KMSP_17_35
beacon = BLUEM

route1 =
    180
    N44.10.52.86, W093.13.25.67, 11000, 280 ; BLUEM
    N44.22.28.13, W093.12.26.22, 11000, 280 ; FARBO
    N44.35.42.49, W093.12.26.32, 10000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 9000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach18]
##################################################
# TWINZ.EAU9
runway = KMSP_17_35
beacon = TWINZ

route1 =
    090
    N45.02.55.67, W092.17.21.64, 11000, 250 ; TWINZ
    N45.00.14.73, W092.34.22.91, 11000, 250 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 250 ; LOOON
    N44.55.49.08, W093.01.51.18, 11000, 250 ; ZASKY
    end, 254

##################################################
[approach19]
##################################################
# KKILR.KKILR3
runway = KMSP_17_35
beacon = KKILR

route1 =
    090
    N44.51.10.22, W092.11.08.12, 12000, 280 ; KKILR
    N44.52.09.19, W092.29.12.36, 12000, 280 ; KRISP
    N44.51.52.44, W092.47.48.93, 10000, 250 ; AFTYN
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach20]
##################################################
# BAYKS.MUSCL3
runway = KMSP_17_35
beacon = BAYKS

route1 =
    090
    N45.03.37.67, W092.12.53.65, 12000, 280 ; BAYKS
    N45.00.14.73, W092.34.22.91, 12000, 280 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 280 ; LOOON
    N44.56.42.40, W092.56.21.76, 10000, 250 ; WDBRY
    N44.55.49.08, W093.01.51.18, 9000, 250 ; ZASKY
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach21]
##################################################
# NITZR.NITZR3
runway = KMSP_17_35
beacon = NITZR

route1 =
    180
    N44.11.10.48, W093.27.57.86, 12000, 280 ; NITZR
    N44.21.53.52, W093.22.00.75, 12000, 280 ; DAHRL
    N44.30.41.05, W093.15.58.59, 12000, 280 ; GDNEE
    N44.35.42.49, W093.12.26.32, 11000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 10000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach22]
##################################################
# SHONN.SKETR5
runway = KMSP_17_35
beacon = SHONN

route1 =
    270
    N44.41.36.39, W094.09.07.94, 11000, 250 ; SHONN
    N44.44.54.77, W093.54.27.23, 11000, 250 ; NORWD
    N44.47.20.15, W093.43.35.40, 11000, 250 ; JAEDN
    N44.51.09.10, W093.26.17.53, 11000, 250 ; MONKY
    end, 071

##################################################
[approach23]
##################################################
# OFSON.TORGY3
runway = KMSP_17_35
beacon = OFSON

route1 =
    250
    N44.40.25.33, W094.14.28.99, 11000, 280 ; OFSON
    N44.42.04.05, W094.07.10.47, 11000, 280 ; HMBRG
    N44.45.10.46, W093.53.17.06, 11000, 280 ; CONIA
    N44.47.20.15, W093.43.35.40, 10000, 250 ; JAEDN
    N44.51.14.58, W093.25.51.61, 9000, 250 ; HDEEE
    N44.46.54.18, W093.15.51.42, 8000, 210 ; MAUER
    N44.41.04.81, W093.02.19.28, 8000, 210 ; JJENI
    end, 121

##################################################
[approach24]
##################################################
# TRGET.TWOLF3
runway = KMSP_17_35
beacon = TRGET

route1 =
    180
    N44.13.52.58, W093.27.43.65, 11000, 250 ; TRGET
    N44.22.49.19, W093.21.29.53, 11000, 250 ; PIKKL
    N44.30.41.05, W093.15.58.59, 11000, 250 ; GDNEE
    N44.37.51.40, W093.10.55.39, 11000, 250 ; FGT
    end, 090

##################################################
[approach25]
##################################################
# LUCCY.BAINY3
runway = KMSP_04_22, rev
beacon = LUCCY

route1 =
    360
    N45.35.04.41, W093.36.32.48, 11000, 280 ; LUCCY
    N45.20.54.45, W093.28.52.21, 11000, 280 ; SAUGR
    N45.08.44.47, W093.22.23.45, 10000, 250 ; GEP
    N45.03.08.48, W093.18.53.06, 9000, 250 ; PRRPL
    N44.57.49.95, W093.06.34.25, 8000, 210 ; OSMOH
    N44.53.30.84, W092.56.50.32, 8000, 210 ; IRRRV
    end, 121

##################################################
[approach26]
##################################################
# BLUEM.BLUEM4
